Smart Contract, Total Opcodes, Total Jumps, Solved Jumps, Definitely unreachable jumps, Maybe unreachable jumps, Total solved Jumps, Unsound jumps, Maybe unsound jumps, % Total Solved, Time (millis), Notes 
0x27094206d10fa2f4559bca21046cbd50f0f671e5, 2315, 164, 162, 2, 0, 164, 0, 0, 1.0, 23455, ss: 17 sss: 32 
0x795b23627bdeae607b56baae6993617de17d7180, 1517, 107, 104, 3, 0, 107, 0, 0, 1.0, 3310, ss: 17 sss: 32 
0xd36608023c01676a745ff342315b9d3502e9d49a, 2562, 230, 187, 43, 0, 230, 0, 0, 1.0, 11924, ss: 17 sss: 32 
0x7e81f954fa4f8877d45ce4867363e9c913599746, 1605, 110, 109, 1, 0, 110, 0, 0, 1.0, 16188, ss: 17 sss: 32 
0x564D33cF8623D38Bd8D2D8a4AD152Bcd1BBb91Ae, 2868, 247, 211, 36, 0, 247, 0, 0, 1.0, 17084, ss: 17 sss: 32 
0xF4c35D3cDF4AB68E67A0dF7429b4E07c92a0bD37, 1787, 118, 109, 9, 0, 118, 0, 0, 1.0, 3300, ss: 17 sss: 32 
0x40069889098cd54D6c1021578000F37b197479Cf, 2377, 177, 160, 17, 0, 177, 0, 0, 1.0, 8664, ss: 17 sss: 32 
0x2d81de318b65381c470d16431fba4f7b18f0351f, 1512, 107, 104, 3, 0, 107, 0, 0, 1.0, 4341, ss: 17 sss: 32 
0x2043e1d61b2aaec7a380b187d373b77aa612904b, 2138, 195, 169, 26, 0, 195, 0, 0, 1.0, 5304, ss: 17 sss: 32 
0x3E4110cd48b104DE8F1265BfadbF7c0bfd942760, 2946, 275, 235, 40, 0, 275, 0, 0, 1.0, 34967, ss: 17 sss: 32 
0x8326c9cc7778a72d2e16da9ab2a351937a331fb1, 1769, 140, 139, 1, 0, 140, 0, 0, 1.0, 23176, ss: 17 sss: 32 
0x7d562871dfd88375b593ead85f432fd5ba7febe0, 2887, 278, 245, 33, 0, 278, 0, 0, 1.0, 14253, ss: 17 sss: 32 
0x651c6cc4ebbe421319bae4eadf4fa769ff14bf3e, 1590, 110, 109, 1, 0, 110, 0, 0, 1.0, 21227, ss: 17 sss: 32 
0xba630A7457f110211d9543f5D2D59233e9E4754d, 1305, 98, 97, 1, 0, 98, 0, 0, 1.0, 7594, ss: 17 sss: 32 
0x287853ea79673e8c1b0fd91ea838984aabfe158e, 1508, 107, 104, 3, 0, 107, 0, 0, 1.0, 5617, ss: 17 sss: 32 
0x69192971A09737A24d292e37F7ecfD57B40a5451, 2447, 188, 186, 2, 0, 188, 0, 0, 1.0, 35567, ss: 17 sss: 32 
0x752446c704ba6e9d261eb810a20f3f1514623e18, 1010, 84, 81, 3, 0, 84, 0, 0, 1.0, 8806, ss: 17 sss: 32 
0xe7d81b34a50f75c25694d4619508c142c9e37a03, 2743, 262, 210, 52, 0, 262, 0, 0, 1.0, 7684, ss: 17 sss: 32 
0x156633c9cb90101465dc832153fdc72976100408, 1516, 107, 104, 3, 0, 107, 0, 0, 1.0, 3153, ss: 17 sss: 32 
0xc44e905ce304bf8fa5511f75d18a35b664fc9432, 1524, 107, 104, 3, 0, 107, 0, 0, 1.0, 4283, ss: 17 sss: 32 
0x834b03e66490999fd0230c53b4fe4db3d23dd511, 1514, 107, 104, 3, 0, 107, 0, 0, 1.0, 5725, ss: 17 sss: 32 
0x62f2f56ade240ea712a86d7a73dd11e24ce61a51, 2674, 93, 92, 1, 0, 93, 0, 0, 1.0, 7570, ss: 17 sss: 32 
0x3d0c6aff559ada6bfaa911b092e6c2ae4eb5505b, 1352, 81, 77, 4, 0, 81, 0, 0, 1.0, 1782, ss: 17 sss: 32 
0x77a2059e50e75c2e5a3d9444ec07c6d2358246b6, 2415, 226, 200, 26, 0, 226, 0, 0, 1.0, 11261, ss: 17 sss: 32 
0xe3efc8bacda7b19f5d51c5daab9af682b2a66744, 2481, 126, 104, 22, 0, 126, 0, 0, 1.0, 422, ss: 17 sss: 32 
0x03fb106265bdedef45589fa915e4a49f514c4593, 1506, 107, 104, 3, 0, 107, 0, 0, 1.0, 4301, ss: 17 sss: 32 
0x955ee8d7f7756d88bba9877ce43247a3d0bcac36, 1530, 108, 104, 4, 0, 108, 0, 0, 1.0, 4468, ss: 17 sss: 32 
0xa134f4c20cf6b5ab5e357443057cf5f02db994c0, 1511, 107, 104, 3, 0, 107, 0, 0, 1.0, 5186, ss: 17 sss: 32 
